"Jahr","count","sum","norm"
1976,1,1018,0.000982318271119843
1984,4,1273,0.00314218381775334
1988,1,1646,0.000607533414337789
1992,4,1745,0.00229226361031519
1996,7,2049,0.00341630063445583
2000,4,2197,0.00182066454255803
2004,14,2017,0.00694100148735746
2008,7,2001,0.00349825087456272
2012,41,2104,0.0194866920152091
