Land;Name;Disziplin;Kategorie;Jahr;Ort;Geschlecht;Link
BRN;Ali Hasan Mahboob;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
USA;Amy Hastings;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_10,000_metres
ESP;Ayad Lamdassem;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
ECU;Bayron Piedra;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
KEN;Bedan Karoki Muchiri;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
ETH;Beleynesh Oljira;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_10,000_metres
AUS;Ben St.Lawrence;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
CAN;Cameron Levins;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
GBR;Christopher Thompson;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
ITA;Daniele Meucci;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
USA;Dathan Ritzenhein;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
MEX;Diego Estrada;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
RUS;Elizaveta Grechishnikova;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_10,000_metres
AUS;Eloise Wellings;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_10,000_metres
IRL;Fionnuala Britton;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_10,000_metres
USA;Galen Rupp;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
ETH;Gebregziabher Gebremariam;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
JPN;Hitomi Niiya;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_10,000_metres
USA;Janet Cherobon-Bawcom;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_10,000_metres
GBR;Joanne Pavey;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_10,000_metres
KEN;Joyce Chepkirui;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_10,000_metres
GBR;Julia Bleasdale;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_10,000_metres
JPN;Kayoko Fukushi;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_10,000_metres
ETH;Kenenisa Bekele;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
USA;Lisa Uhl;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_10,000_metres
USA;Matthew Tegenkamp;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
JPN;Mika Yoshikawa;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_10,000_metres
GBR;Mo Farah;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
CAN;Mohammed Ahmed;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
UGA;Moses Ndiema Kipsiro;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
KEN;Moses Ndiema Masai;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
KSR;Moukheld Al-Outaibi;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
UKR;Mykola Labovskyy;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
ITA;Nadia Ejjafini;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_10,000_metres
ERI;Nguse Tesfaldet;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
UKR;Olha Skrypak;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_10,000_metres
TUR;Polat Kemboi Arikan;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
RWA;Robert Kajuga;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
GER;Sabrina Mockenhaupt;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_10,000_metres
KEN;Sally Kipyego;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_10,000_metres
POR;Sara Moreira;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_10,000_metres
BRN;Shitaye Eshete;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_10,000_metres
ETH;Tariku Bekele;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
ERI;Teklemariam Medhin;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
UGA;Thomas Ayeko;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
ETH;Tirunesh Dibaba;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_10,000_metres
KEN;Vivian Cheruiyot;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_10,000_metres
ETH;Werknesh Kidane;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_10,000_metres
KEN;Wilson Kiprop;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
JPN;Yuki Sato;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
ERI;Zersenay Tadese;10.000-Meter-Lauf;Mittel-/Langstrecke;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_10,000_metres
BLR;Alina Talay;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
KAZ;Anastasiya Soprunova;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
KAZ;Anastassiya Pilipenko;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
BEL;Anne Zagré;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
JPN;Ayako Kimura;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
AUS;Beate Schrott;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
GEQ;Bibiana Olama;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
JAM;Brigitte Foster-Hylton;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
COL;Brigitte Merlano;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
GER;Carolin Nytra;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
GER;Cindy Roleder;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
USA;Dawn Harper;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
IRL;Derval O'Rourke;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
SIN;Dipna Lim Prasad;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
BLR;Ekaterina Poplavskaya;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
BEL;Eline Berings;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
BAH;Ivanique Kemp;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
HON;Jeimy Bernardez;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
GBR;Jessica Ennis;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
CAN;Jessica Zelinka;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
KOR;Jung Hye-Lim;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
USA;Kellie Wells;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
JAM;Latoya Greaves;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
DOM;Lavonne Idlette;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
STP;Lecabela Quaresma;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
COL;Lina Florez;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
USA;LoLo Jones;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
CZE;Lucie Škrobáková;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
SLO;Marina Tomić;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
BUR;Marthe Koala;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
ITA;Marzia Caravelli;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
KAZ;Natalya Ivoninskaya;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
TUR;Nevin Yanit;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
CAN;Nikkita Holder;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
SUI;Noemi Zbären;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
BEN;Odile Ahouanwanou;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
CAN;Phylicia George;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
MLI;Rahamatou Drame;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
FRA;Reïna-Flor Okori;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
CIV;Rosvitha Okou;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
AUS;Sally Pearson;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
NGR;Seun Adigun;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
JAM;Shermaine Williams;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
MOZ;Silvia Panguana;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
LTU;Sonata Tamošaitytė;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
CHN;Sun Yawei;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
RUS;Tatyana Dektyareva;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
GBR;Tiffany Porter;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
RUS;Yekaterina Galitskaya;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
RUS;Yuliya Kondakova;100-Meter-Hürdenlauf;Hürdenlauf;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres_hurdles
GBR;Abiodun Oyepitan;100-Meter-Lauf;Sprint;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres
GBR;Adam Gemili;100-Meter-Lauf;Sprint;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres
MDV;Afa Ismail;100-Meter-Lauf;Sprint;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres
GUI;Aissata Toure;100-Meter-Lauf;Sprint;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres
ISV;Allison Peter;100-Meter-Lauf;Sprint;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres
USA;Allyson Felix;100-Meter-Lauf;Sprint;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres
EGY;Amr Ibrahim Mostafa Seoud;100-Meter-Lauf;Sprint;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres
ROU;Andreea Ogrăzeanu;100-Meter-Lauf;Sprint;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres
ESP;Ángel David Rodríguez;100-Meter-Lauf;Sprint;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres
SKN;Antoine Adams;100-Meter-Lauf;Sprint;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres
GBR;Anyika Onuora;100-Meter-Lauf;Sprint;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres
BOL;Artur Bruno Rojas;100-Meter-Lauf;Sprint;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres
JAM;Asafa Powell;100-Meter-Lauf;Sprint;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres
TUV;Asenate Manoa;100-Meter-Lauf;Sprint;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres
MDV;Azneem Ahmed;100-Meter-Lauf;Sprint;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres
TOG;Bamab Napo;100-Meter-Lauf;Sprint;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres
OMA;Barakat Al-Harthi;100-Meter-Lauf;Sprint;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres
CIV;Ben Youssef Meité;100-Meter-Lauf;Sprint;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres
CAF;Béranger Aymard Bosse;100-Meter-Lauf;Sprint;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres
NGR;Blessing Okagbare;100-Meter-Lauf;Sprint;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres
USA;Carmelita Jeter;100-Meter-Lauf;Sprint;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres
ZAM;Chauzje Choosha;100-Meter-Lauf;Sprint;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres
JPN;Chisato Fukushima;100-Meter-Lauf;Sprint;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres
STP;Christopher Lima da Costa;100-Meter-Lauf;Sprint;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres
SOL;Chris Walasi;100-Meter-Lauf;Sprint;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres
NED;Churandy Martina;100-Meter-Lauf;Sprint;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres
VIN;Courtney Carl Williams;100-Meter-Lauf;Sprint;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres
AND;Cristina Llovera;100-Meter-Lauf;Sprint;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres
IRQ;Dana Abdul Razak;100-Meter-Lauf;Sprint;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres
ANT;Daniel Bailey;100-Meter-Lauf;Sprint;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres
POL;Dariusz Kuć;100-Meter-Lauf;Sprint;2012;London;Men;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres
BAH;Debbie Ferguson-McKenzie;100-Meter-Lauf;Sprint;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres
CMR;Delphine Atangana;100-Meter-Lauf;Sprint;2012;London;Women;https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Women%27s_100_metres
