"1","2","3","4","Game"
"6","9","Masoud Azizi","Afghanistan","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.31"
"7","7","Nooa Takooa","Kiribati","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.32"
"8","4","Patrick Tuara","Cook Islands","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.33"
NA,NA,"","","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.34"
"1","6","Tyson Gay","United States","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.35"
"2","5","Richard Thompson","Trinidad and Tobago","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.36"
"3","7","Gerald Phiri","Zambia","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.37"
"4","3","Jaysuma Saidy Ndure","Norway","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.38"
"5","4","Ángel David Rodríguez","Spain","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.39"
"6","2","Jurgen Themen","Suriname","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.40"
"7","5","Isidro Montoya","Colombia","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.41"
"8","1","Yeo Foo Ee Gary","Singapore","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.42"
NA,NA,"","","https://en.wikipedia.org/wiki/Athletics_at_the_2012_Summer_Olympics./wiki/Athletics_at_the_2012_Summer_Olympics_%E2%80%93_Men%27s_100_metres.43"
