"1","2","3","4","Game"
"3","9","Kristof Beyens","Belgium","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_200_metres.85"
"4","6","Marcin Jędrusiński","Poland","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_200_metres.86"
"5","4","Aaron Armstrong","Trinidad and Tobago","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_200_metres.87"
"6","7","Obinna Metu","Nigeria","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_200_metres.88"
"7","2","Sandro Viana","Brazil","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_200_metres.89"
"8","3","Marc Schneeberger","Switzerland","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_200_metres.90"
"1","8","Paul Hession","Ireland","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_200_metres.91"
"2","4","Wallace Spearmon","United States","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_200_metres.92"
"3","6","Jaysuma Saidy Ndure","Norway","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_200_metres.93"
"4","7","Rondel Sorrillo","Trinidad and Tobago","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_200_metres.94"
"5","5","Ramil Guliyev","Azerbaijan","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_200_metres.95"
"6","3","Visa Hongisto","Finland","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_200_metres.96"
"7","2","Thuso Mpuang","South Africa","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_200_metres.97"
"99 !","9","Marvin Anderson","Jamaica","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_200_metres.98"
"1","7","Churandy Martina","Netherlands Antilles","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_200_metres.99"
"2","6","Brian Dzingai","Zimbabwe","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_200_metres.100"
"3","4","Walter Dix","United States","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_200_metres.101"
"4","3","Christian Malcolm","Great Britain","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_200_metres.102"
"5","5","Paul Hession","Ireland","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_200_metres.103"
"6","9","Christopher Williams","Jamaica","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_200_metres.104"
"7","2","Jared Connaughton","Canada","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_200_metres.105"
"8","8","Kristof Beyens","Belgium","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_200_metres.106"
"1","6","Usain Bolt","Jamaica","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_200_metres.107"
"2","5","Shawn Crawford","United States","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_200_metres.108"
"3","7","Wallace Spearmon","United States","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_200_metres.109"
"4","8","Kim Collins","Saint Kitts and Nevis","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_200_metres.110"
"5","4","Brendan Christian","Antigua and Barbuda","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_200_metres.111"
"6","2","Stephan Buckland","Mauritius","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_200_metres.112"
"7","3","Marlon Devonish","Great Britain","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_200_metres.113"
"99 !","9","Jaysuma Saidy Ndure","Norway","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_200_metres.114"
"01 !","5","Usain Bolt","Jamaica","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_200_metres.115"
"02 !","4","Shawn Crawford","United States","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_200_metres.116"
"03 !","8","Walter Dix","United States","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_200_metres.117"
"4","6","Brian Dzingai","Zimbabwe","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_200_metres.118"
"5","3","Christian Malcolm","Great Britain","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_200_metres.119"
"6","2","Kim Collins","Saint Kitts and Nevis","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_200_metres.120"
"99 !DSQ","7","Churandy Martina","Netherlands Antilles","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_200_metres.121"
"99 !DSQ","9","Wallace Spearmon","United States","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Men%27s_200_metres.122"
"1","2","Muna Lee","United States","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.1"
"2","2","Muriel Hurtis-Houairi","France","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.2"
"3","2","Cydonie Mothersille","Cayman Islands","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.3"
"4","4","Roqaya Al-Gassra","Bahrain","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.4"
"5","6","Nataliya Pyhyda","Ukraine","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.5"
"6","6","Sherone Simpson","Jamaica","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.6"
"7","4","Emily Freeman","Great Britain","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.7"
"8","2","Yuliya Chermoshanskaya","Russia","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.8"
"9","1","Allyson Felix","United States","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.9"
"10","4","Kerron Stewart","Jamaica","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.10"
"11","5","Veronica Campbell-Brown","Jamaica","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.11"
"11","1","Susanthika Jayasinghe","Sri Lanka","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.12"
"13","5","Kadiatou Camara","Mali","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.13"
"14","3","Marshevet Hooker","United States","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.14"
"15","6","Roxana Díaz","Cuba","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.15"
"16","6","LaVerne Jones-Ferrette","Virgin Islands","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.16"
"17","2","Ivet Lalova","Bulgaria","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.17"
"18","1","Virgil Hodge","Saint Kitts and Nevis","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.18"
"19","5","Natalia Rusakova","Russia","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.19"
"20","3","Debbie Ferguson-McKenzie","Bahamas","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.20"
"21","4","Ionela Târlea","Romania","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.21"
"22","1","Aleksandra Fedoriva","Russia","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.22"
"23","3","Oludamola Osayomi","Nigeria","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.23"
"24","5","Sheniqua Ferguson","Bahamas","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.24"
"24","4","Darlenis Obregón","Colombia","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.25"
"26","5","Adrienne Power","Canada","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.26"
"27","6","Evelyn dos Santos","Brazil","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.27"
"28","5","Vincenza Calì","Italy","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.28"
"28","4","Guzel Khubbieva","Uzbekistan","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.29"
"30","6","Allison George","Grenada","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.30"
"31","1","Inna Eftimova","Bulgaria","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.31"
"32","3","Eleni Artymata","Cyprus","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.32"
"33","6","Marta Jeschke","Poland","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.33"
"34","4","Jade Bailey","Barbados","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.34"
"34","3","Sabina Veit","Slovenia","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.35"
"36","5","Isabel Le Roux","South Africa","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.36"
"37","3","Gloria Kemasuode","Nigeria","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.37"
"38","3","Meritzer Williams","Saint Kitts and Nevis","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.38"
"39","2","Mariely Sánchez","Dominican Republic","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.39"
"40","3","Fabienne Feraez","Benin","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.40"
"40","2","Carol Rodríguez","Puerto Rico","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.41"
"42","1","Kia Davis","Liberia","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.42"
"43","4","Lai Lai Win","Myanmar","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.43"
"44","1","Kirsten Nieuwendam","Suriname","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.44"
"45","6","Gretta Taslakian","Lebanon","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.45"
"46","5","Samia Yusuf Omar","Somalia","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.46"
"99 !","1","Vida Anim","Ghana","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.47"
"99 !","2","Kim Gevaert","Belgium","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.48"
"1","4","Sherone Simpson","Jamaica","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.49"
"2","3","Yuliya Chermoshanskaya","Russia","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.50"
"3","1","Veronica Campbell-Brown","Jamaica","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.51"
"4","1","Allyson Felix","United States","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.52"
"4","3","Kerron Stewart","Jamaica","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.53"
"6","2","Roqaya Al-Gassra","Bahrain","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.54"
"6","3","Marshevet Hooker","United States","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.55"
"8","1","Debbie Ferguson-McKenzie","Bahamas","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.56"
"9","4","Muna Lee","United States","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.57"
"9","1","Cydonie Mothersille","Cayman Islands","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.58"
"11","2","Muriel Hurtis-Houairi","France","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.59"
"12","2","Susanthika Jayasinghe","Sri Lanka","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.60"
"13","4","Emily Freeman","Great Britain","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.61"
"14","2","Roxana Díaz","Cuba","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.62"
"15","3","Nataliya Pyhyda","Ukraine","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.63"
"16","2","Aleksandra Fedoriva","Russia","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.64"
"17","3","Kadiatou Camara","Mali","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.65"
"18","4","Ivet Lalova","Bulgaria","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.66"
"19","4","Virgil Hodge","Saint Kitts and Nevis","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.67"
"20","1","Ionela Târlea","Romania","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.68"
"21","2","Oludamola Osayomi","Nigeria","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.69"
"22","4","Natalia Rusakova","Russia","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.70"
"23","1","Evelyn dos Santos","Brazil","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.71"
"24","1","LaVerne Jones-Ferrette","Virgin Islands","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.72"
"25","2","Darlenis Obregón","Colombia","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.73"
"26","2","Inna Eftimova","Bulgaria","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.74"
"27","3","Adrienne Power","Canada","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.75"
"28","3","Vincenza Calì","Italy","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.76"
"29","3","Sheniqua Ferguson","Bahamas","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.77"
"30","4","Eleni Artymata","Cyprus","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.78"
"31","4","Allison George","Grenada","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.79"
"99 !","1","Guzel Khubbieva","Uzbekistan","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.80"
"1","5","Veronica Campbell-Brown","Jamaica","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.81"
"2","7","Kerron Stewart","Jamaica","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.82"
"3","4","Muna Lee","United States","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.83"
"4","9","Debbie Ferguson-McKenzie","Bahamas","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.84"
"5","6","Yuliya Chermoshanskaya","Russia","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.85"
"6","3","Nataliya Pyhyda","Ukraine","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.86"
"7","8","Susanthika Jayasinghe","Sri Lanka","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.87"
"8","2","Roxana Díaz","Cuba","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.88"
"1","7","Allyson Felix","United States","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.89"
"2","9","Marshevet Hooker","United States","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.90"
"3","5","Sherone Simpson","Jamaica","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.91"
"4","3","Cydonie Mothersille","Cayman Islands","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.92"
"5","4","Muriel Hurtis-Houairi","France","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.93"
"6","6","Roqaya Al-Gassra","Bahrain","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.94"
"7","8","Emily Freeman","Great Britain","https://en.wikipedia.org/wiki/Athletics_at_the_2008_Summer_Olympics./wiki/Athletics_at_the_2008_Summer_Olympics_%E2%80%93_Women%27s_200_metres.95"
