"Rank","Athlete","City","year","Discipline"
"G","Mo FARAH
                
                    
                    GBR","london","2012","10000m-men"
"S","Galen RUPP
                
                    
                    USA","london","2012","10000m-men"
"B","Tariku BEKELE
                
                    
                    ETH","london","2012","10000m-men"
"","Kenenisa BEKELE
                
                    
                    ETH","london","2012","10000m-men"
"","Bedan Karoki MUCHIRI
                
                    
                    KEN","london","2012","10000m-men"
"","Zersenay TADESE
                
                    
                    ERI","london","2012","10000m-men"
"","Teklemariam MEDHIN
                
                    
                    ERI","london","2012","10000m-men"
"","Gebregziabher GEBREMARIAM
                
                    
                    ETH","london","2012","10000m-men"
"","Polat Kemboi ARIKAN
                
                    
                    TUR","london","2012","10000m-men"
"","Moses Ndiema KIPSIRO
                
                    
                    UGA","london","2012","10000m-men"
"","Cameron LEVINS
                
                    
                    CAN","london","2012","10000m-men"
"","Moses Ndiema MASAI
                
                    
                    KEN","london","2012","10000m-men"
"","Dathan RITZENHEIN
                
                    
                    USA","london","2012","10000m-men"
"","Robert KAJUGA
                
                    
                    RWA","london","2012","10000m-men"
"","Nguse TESFALDET
                
                    
                    ERI","london","2012","10000m-men"
"","Thomas AYEKO
                
                    
                    UGA","london","2012","10000m-men"
"","Moukheld AL-OUTAIBI
                
                    
                    KSA","london","2012","10000m-men"
"","Mohammed AHMED
                
                    
                    CAN","london","2012","10000m-men"
"","Matthew TEGENKAMP
                
                    
                    USA","london","2012","10000m-men"
"","Ben ST LAWRENCE
                
                    
                    AUS","london","2012","10000m-men"
"","Diego ESTRADA
                
                    
                    MEX","london","2012","10000m-men"
"","Yuki SATO
                
                    
                    JPN","london","2012","10000m-men"
"","Ayad LAMDASSEM
                
                    
                    ESP","london","2012","10000m-men"
"","Daniele MEUCCI
                
                    
                    ITA","london","2012","10000m-men"
"","Christopher THOMPSON
                
                    
                    GBR","london","2012","10000m-men"
"","Mykola LABOVSKYY
                
                    
                    UKR","london","2012","10000m-men"
"","Wilson KIPROP
                
                    
                    KEN","london","2012","10000m-men"
"","Ali Hasan MAHBOOB
                
                    
                    BRN","london","2012","10000m-men"
"","Bayron PIEDRA
                
                    
                    ECU","london","2012","10000m-men"
"","Diego ESTRADA
                
                    
                    MEX","london","2012","10000m-men"
"","Yuki SATO
                
                    
                    JPN","london","2012","10000m-men"
"","Ayad LAMDASSEM
                
                    
                    ESP","london","2012","10000m-men"
"","Daniele MEUCCI
                
                    
                    ITA","london","2012","10000m-men"
"","Christopher THOMPSON
                
                    
                    GBR","london","2012","10000m-men"
"","Mykola LABOVSKYY
                
                    
                    UKR","london","2012","10000m-men"
NA,"Wilson KIPROP
                
                    
                    KEN","london","2012","10000m-men"
NA,"Ali Hasan MAHBOOB
                
                    
                    BRN","london","2012","10000m-men"
NA,"Bayron PIEDRA
                
                    
                    ECU","london","2012","10000m-men"
"G","David Lekuta RUDISHA
                
                    
                    KEN","london","2012","800m-men"
"S","Nijel AMOS
                
                    
                    BOT","london","2012","800m-men"
"B","Timothy KITUM
                
                    
                    KEN","london","2012","800m-men"
"","Duane SOLOMON
                
                    
                    USA","london","2012","800m-men"
"","Nick SYMMONDS
                
                    
                    USA","london","2012","800m-men"
"","Mohammed GELETO
                
                    
                    ETH","london","2012","800m-men"
"","Abubaker KAKI
                
                    
                    SUD","london","2012","800m-men"
"","Andrew OSAGIE
                
                    
                    GBR","london","2012","800m-men"
"","Mohammed GELETO
                
                    
                    ETH","london","2012","800m-men"
"","David Lekuta RUDISHA
                
                    
                    KEN","london","2012","800m-men"
"","Abubaker KAKI
                
                    
                    SUD","london","2012","800m-men"
"","Nijel AMOS
                
                    
                    BOT","london","2012","800m-men"
"","Timothy KITUM
                
                    
                    KEN","london","2012","800m-men"
"","Andrew OSAGIE
                
                    
                    GBR","london","2012","800m-men"
"","Nick SYMMONDS
                
                    
                    USA","london","2012","800m-men"
"","Duane SOLOMON
                
                    
                    USA","london","2012","800m-men"
"","Marcin LEWANDOWSKI
                
                    
                    POL","london","2012","800m-men"
"","Yuriy BORZAKOVSKIY
                
                    
                    RUS","london","2012","800m-men"
"","Pierre-Ambroise BOSSE
                
                    
                    FRA","london","2012","800m-men"
"","Adam KSZCZOT
                
                    
                    POL","london","2012","800m-men"
"","Andre OLIVIER
                
                    
                    RSA","london","2012","800m-men"
"","Anthony CHEMUT
                
                    
                    KEN","london","2012","800m-men"
"","Antonio Manuel REINA
                
                    
                    ESP","london","2012","800m-men"
"","Robert LATHOUWERS
                
                    
                    NED","london","2012","800m-men"
"","Geoffrey HARRIS
                
                    
                    CAN","london","2012","800m-men"
"","Luis Alberto MARCO
                
                    
                    ESP","london","2012","800m-men"
"","Fabiano PECANHA
                
                    
                    BRA","london","2012","800m-men"
"","Kevin LOPEZ
                
                    
                    ESP","london","2012","800m-men"
"","Musaeb Abdulrahman BALLA
                
                    
                    QAT","london","2012","800m-men"
"","Hamada MOHAMED
                
                    
                    EGY","london","2012","800m-men"
"","Abdulaziz Ladan MOHAMMED
                
                    
                    KSA","london","2012","800m-men"
"","Andy GONZALEZ
                
                    
                    CUB","london","2012","800m-men"
"","Sajad MORADI
                
                    
                    IRI","london","2012","800m-men"
"","Musaeb Abdulrahman BALLA
                
                    
                    QAT","london","2012","800m-men"
"","Hamada MOHAMED
                
                    
                    EGY","london","2012","800m-men"
"","Abdulaziz Ladan MOHAMMED
                
                    
                    KSA","london","2012","800m-men"
"","Andy GONZALEZ
                
                    
                    CUB","london","2012","800m-men"
NA,"Sajad MORADI
                
                    
                    IRI","london","2012","800m-men"
"","Abubaker KAKI
                
                    
                    SUD","london","2012","800m-men"
"","Timothy KITUM
                
                    
                    KEN","london","2012","800m-men"
"","David Lekuta RUDISHA
                
                    
                    KEN","london","2012","800m-men"
"","Nijel AMOS
                
                    
                    BOT","london","2012","800m-men"
"","Nick SYMMONDS
                
                    
                    USA","london","2012","800m-men"
"","Geoffrey HARRIS
                
                    
                    CAN","london","2012","800m-men"
"","Adam KSZCZOT
                
                    
                    POL","london","2012","800m-men"
"","Pierre-Ambroise BOSSE
                
                    
                    FRA","london","2012","800m-men"
"","Duane SOLOMON
                
                    
                    USA","london","2012","800m-men"
"","Robert LATHOUWERS
                
                    
                    NED","london","2012","800m-men"
"","Abdulaziz Ladan MOHAMMED
                
                    
                    KSA","london","2012","800m-men"
"","Andy GONZALEZ
                
                    
                    CUB","london","2012","800m-men"
"","Yuriy BORZAKOVSKIY
                
                    
                    RUS","london","2012","800m-men"
"","Fabiano PECANHA
                
                    
                    BRA","london","2012","800m-men"
"","Musaeb Abdulrahman BALLA
                
                    
                    QAT","london","2012","800m-men"
"","Andreas BUBE
                
                    
                    DEN","london","2012","800m-men"
"","Andre OLIVIER
                
                    
                    RSA","london","2012","800m-men"
"","Andrew OSAGIE
                
                    
                    GBR","london","2012","800m-men"
"","Wesley VAZQUEZ
                
                    
                    PUR","london","2012","800m-men"
"","Luis Alberto MARCO
                
                    
                    ESP","london","2012","800m-men"
"","Jakub HOLUSA
                
                    
                    CZE","london","2012","800m-men"
"","Gareth WARBURTON
                
                    
                    GBR","london","2012","800m-men"
"","Jeffrey RISELEY
                
                    
                    AUS","london","2012","800m-men"
"","Tamas KAZI
                
                    
                    HUN","london","2012","800m-men"
"","Khadevis ROBINSON
                
                    
                    USA","london","2012","800m-men"
"","Mohammed GELETO
                
                    
                    ETH","london","2012","800m-men"
"","Anthony CHEMUT
                
                    
                    KEN","london","2012","800m-men"
"","Antonio Manuel REINA
                
                    
                    ESP","london","2012","800m-men"
"","Marcin LEWANDOWSKI
                
                    
                    POL","london","2012","800m-men"
"","Rafith RODRIGUEZ
                
                    
                    COL","london","2012","800m-men"
"","Adnan Taess AKKAR
                
                    
                    IRQ","london","2012","800m-men"
"","Hamada MOHAMED
                
                    
                    EGY","london","2012","800m-men"
"","Sajad MORADI
                
                    
                    IRI","london","2012","800m-men"
"","Kevin LOPEZ
                
                    
                    ESP","london","2012","800m-men"
"","Julius MUTEKANGA
                
                    
                    UGA","london","2012","800m-men"
"","Moise JOSEPH
                
                    
                    HAI","london","2012","800m-men"
"","Amine EL MANAOUI
                
                    
                    MAR","london","2012","800m-men"
"","Masato YOKOTA
                
                    
                    JPN","london","2012","800m-men"
"","Soren LUDOLPH
                
                    
                    GER","london","2012","800m-men"
"","Ismail Ahmed ISMAIL
                
                    
                    SUD","london","2012","800m-men"
"","Michael RIMMER
                
                    
                    GBR","london","2012","800m-men"
"","Prince MUMBA
                
                    
                    ZAM","london","2012","800m-men"
"","Anis ANANENKA
                
                    
                    BLR","london","2012","800m-men"
"","Ivan TUKHTACHEV
                
                    
                    RUS","london","2012","800m-men"
"","Moussa CAMARA
                
                    
                    MLI","london","2012","800m-men"
"","Manuel ANTONIO
                
                    
                    ANG","london","2012","800m-men"
"","Arnold SORINA
                
                    
                    VAN","london","2012","800m-men"
"","Samorn KIENG
                
                    
                    CAM","london","2012","800m-men"
"","Benjamin ENZEMA
                
                    
                    GEQ","london","2012","800m-men"
"","Derek MANDELL
                
                    
                    GUM","london","2012","800m-men"
"","Edgar CORTEZ
                
                    
                    NCA","london","2012","800m-men"
"","Erzhan ASKAROV
                
                    
                    KGZ","london","2012","800m-men"
"","Taoufik MAKHLOUFI
                
                    
                    ALG","london","2012","800m-men"
"","Mohammad AL-AZEMI
                
                    
                    KUW","london","2012","800m-men"
"","Brice ETES
                
                    
                    MON","london","2012","800m-men"
"","Kleberson DAVIDE
                
                    
                    BRA","london","2012","800m-men"
"","Jakub HOLUSA
                
                    
                    CZE","london","2012","800m-men"
"","Gareth WARBURTON
                
                    
                    GBR","london","2012","800m-men"
"","Jeffrey RISELEY
                
                    
                    AUS","london","2012","800m-men"
"","Tamas KAZI
                
                    
                    HUN","london","2012","800m-men"
"","Khadevis ROBINSON
                
                    
                    USA","london","2012","800m-men"
"","Mohammed GELETO
                
                    
                    ETH","london","2012","800m-men"
"","Anthony CHEMUT
                
                    
                    KEN","london","2012","800m-men"
"","Antonio Manuel REINA
                
                    
                    ESP","london","2012","800m-men"
"","Marcin LEWANDOWSKI
                
                    
                    POL","london","2012","800m-men"
"","Rafith RODRIGUEZ
                
                    
                    COL","london","2012","800m-men"
"","Adnan Taess AKKAR
                
                    
                    IRQ","london","2012","800m-men"
"","Hamada MOHAMED
                
                    
                    EGY","london","2012","800m-men"
"","Sajad MORADI
                
                    
                    IRI","london","2012","800m-men"
"","Kevin LOPEZ
                
                    
                    ESP","london","2012","800m-men"
"","Julius MUTEKANGA
                
                    
                    UGA","london","2012","800m-men"
"","Moise JOSEPH
                
                    
                    HAI","london","2012","800m-men"
"","Amine EL MANAOUI
                
                    
                    MAR","london","2012","800m-men"
"","Masato YOKOTA
                
                    
                    JPN","london","2012","800m-men"
"","Soren LUDOLPH
                
                    
                    GER","london","2012","800m-men"
"","Ismail Ahmed ISMAIL
                
                    
                    SUD","london","2012","800m-men"
"","Michael RIMMER
                
                    
                    GBR","london","2012","800m-men"
"","Prince MUMBA
                
                    
                    ZAM","london","2012","800m-men"
"","Anis ANANENKA
                
                    
                    BLR","london","2012","800m-men"
"","Ivan TUKHTACHEV
                
                    
                    RUS","london","2012","800m-men"
"","Moussa CAMARA
                
                    
                    MLI","london","2012","800m-men"
"","Manuel ANTONIO
                
                    
                    ANG","london","2012","800m-men"
"","Arnold SORINA
                
                    
                    VAN","london","2012","800m-men"
"","Samorn KIENG
                
                    
                    CAM","london","2012","800m-men"
"","Benjamin ENZEMA
                
                    
                    GEQ","london","2012","800m-men"
"","Derek MANDELL
                
                    
                    GUM","london","2012","800m-men"
"","Edgar CORTEZ
                
                    
                    NCA","london","2012","800m-men"
"","Erzhan ASKAROV
                
                    
                    KGZ","london","2012","800m-men"
NA,"Taoufik MAKHLOUFI
                
                    
                    ALG","london","2012","800m-men"
NA,"Mohammad AL-AZEMI
                
                    
                    KUW","london","2012","800m-men"
NA,"Brice ETES
                
                    
                    MON","london","2012","800m-men"
NA,"Kleberson DAVIDE
                
                    
                    BRA","london","2012","800m-men"
"G","Mo FARAH
                
                    
                    GBR","london","2012","5000m-men"
"S","Dejen GEBREMESKEL
                
                    
                    ETH","london","2012","5000m-men"
"B","Thomas Pkemei LONGOSIWA
                
                    
                    KEN","london","2012","5000m-men"
"","Bernard LAGAT
                
                    
                    KEN","london","2012","5000m-men"
"","Isiah Kiplangat KOECH
                
                    
                    KEN","london","2012","5000m-men"
"","Abdalaati IGUIDER
                
                    
                    MAR","london","2012","5000m-men"
"","Galen RUPP
                
                    
                    USA","london","2012","5000m-men"
"","Juan Luis BARRIOS
                
                    
                    MEX","london","2012","5000m-men"
"","Hayle IBRAHIMOV
                
                    
                    AZE","london","2012","5000m-men"
"","Lopez LOMONG
                
                    
                    USA","london","2012","5000m-men"
"","Hagos GEBRHIWET
                
                    
                    ETH","london","2012","5000m-men"
"","Yenew ALAMIREW
                
                    
                    ETH","london","2012","5000m-men"
"","Mumin GALA
                
                    
                    DJI","london","2012","5000m-men"
"","Cameron LEVINS
                
                    
                    CAN","london","2012","5000m-men"
"","Moses Ndiema KIPSIRO
                
                    
                    UGA","london","2012","5000m-men"
"","Dejen GEBREMESKEL
                
                    
                    ETH","london","2012","5000m-men"
"","Yenew ALAMIREW
                
                    
                    ETH","london","2012","5000m-men"
"","Thomas Pkemei LONGOSIWA
                
                    
                    KEN","london","2012","5000m-men"
"","Bernard LAGAT
                
                    
                    KEN","london","2012","5000m-men"
"","Abdalaati IGUIDER
                
                    
                    MAR","london","2012","5000m-men"
"","Galen RUPP
                
                    
                    USA","london","2012","5000m-men"
"","Moses Ndiema KIPSIRO
                
                    
                    UGA","london","2012","5000m-men"
"","Cameron LEVINS
                
                    
                    CAN","london","2012","5000m-men"
"","Juan Luis BARRIOS
                
                    
                    MEX","london","2012","5000m-men"
"","Mumin GALA
                
                    
                    DJI","london","2012","5000m-men"
"","Abrar Osman ADEM
                
                    
                    ERI","london","2012","5000m-men"
"","Hayle IBRAHIMOV
                
                    
                    AZE","london","2012","5000m-men"
"","Isiah Kiplangat KOECH
                
                    
                    KEN","london","2012","5000m-men"
"","Nick MCCORMICK
                
                    
                    GBR","london","2012","5000m-men"
"","Mo FARAH
                
                    
                    GBR","london","2012","5000m-men"
"","Lopez LOMONG
                
                    
                    USA","london","2012","5000m-men"
"","Hagos GEBRHIWET
                
                    
                    ETH","london","2012","5000m-men"
"","Edwin Cheruiyot SOI
                
                    
                    KEN","london","2012","5000m-men"
"","Polat Kemboi ARIKAN
                
                    
                    TUR","london","2012","5000m-men"
"","Arne GABIUS
                
                    
                    GER","london","2012","5000m-men"
"","Rabah ABOUD
                
                    
                    ALG","london","2012","5000m-men"
"","Daniele MEUCCI
                
                    
                    ITA","london","2012","5000m-men"
"","Moukheld AL-OUTAIBI
                
                    
                    KSA","london","2012","5000m-men"
"","Abraham KIPLIMO
                
                    
                    UGA","london","2012","5000m-men"
"","Bilisuma SHUGI
                
                    
                    BRN","london","2012","5000m-men"
"","Hassan HIRT
                
                    
                    FRA","london","2012","5000m-men"
"","Yuki SATO
                
                    
                    JPN","london","2012","5000m-men"
"","Craig MOTTRAM
                
                    
                    AUS","london","2012","5000m-men"
"","David MCNEILL
                
                    
                    AUS","london","2012","5000m-men"
"","Olivier IRABARUTA
                
                    
                    BDI","london","2012","5000m-men"
"","Alistair CRAGG
                
                    
                    IRL","london","2012","5000m-men"
"","Aziz LAHBABI
                
                    
                    MAR","london","2012","5000m-men"
"","Soufiyan BOUQANTAR
                
                    
                    MAR","london","2012","5000m-men"
"","Amanuel MESEL
                
                    
                    ERI","london","2012","5000m-men"
"","Collis BIRMINGHAM
                
                    
                    AUS","london","2012","5000m-men"
"","Serhiy LEBID
                
                    
                    UKR","london","2012","5000m-men"
"","Javier CARRIQUEO
                
                    
                    ARG","london","2012","5000m-men"
"","Geoffrey KUSURO
                
                    
                    UGA","london","2012","5000m-men"
"","Hussain Jamaan ALHAMDAH
                
                    
                    KSA","london","2012","5000m-men"
"","Abdullah Abdulaziz ALJOUD
                
                    
                    KSA","london","2012","5000m-men"
"","Ruben SANCA
                
                    
                    CPV","london","2012","5000m-men"
"","Rene HERRERA
                
                    
                    PHI","london","2012","5000m-men"
"","Teklemariam MEDHIN
                
                    
                    ERI","london","2012","5000m-men"
"","Rabah ABOUD
                
                    
                    ALG","london","2012","5000m-men"
"","Daniele MEUCCI
                
                    
                    ITA","london","2012","5000m-men"
"","Moukheld AL-OUTAIBI
                
                    
                    KSA","london","2012","5000m-men"
"","Abraham KIPLIMO
                
                    
                    UGA","london","2012","5000m-men"
"","Bilisuma SHUGI
                
                    
                    BRN","london","2012","5000m-men"
"","Hassan HIRT
                
                    
                    FRA","london","2012","5000m-men"
"","Yuki SATO
                
                    
                    JPN","london","2012","5000m-men"
"","Craig MOTTRAM
                
                    
                    AUS","london","2012","5000m-men"
"","David MCNEILL
                
                    
                    AUS","london","2012","5000m-men"
"","Olivier IRABARUTA
                
                    
                    BDI","london","2012","5000m-men"
"","Alistair CRAGG
                
                    
                    IRL","london","2012","5000m-men"
"","Aziz LAHBABI
                
                    
                    MAR","london","2012","5000m-men"
"","Soufiyan BOUQANTAR
                
                    
                    MAR","london","2012","5000m-men"
"","Amanuel MESEL
                
                    
                    ERI","london","2012","5000m-men"
"","Collis BIRMINGHAM
                
                    
                    AUS","london","2012","5000m-men"
"","Serhiy LEBID
                
                    
                    UKR","london","2012","5000m-men"
"","Javier CARRIQUEO
                
                    
                    ARG","london","2012","5000m-men"
"","Geoffrey KUSURO
                
                    
                    UGA","london","2012","5000m-men"
"","Hussain Jamaan ALHAMDAH
                
                    
                    KSA","london","2012","5000m-men"
"","Abdullah Abdulaziz ALJOUD
                
                    
                    KSA","london","2012","5000m-men"
"","Ruben SANCA
                
                    
                    CPV","london","2012","5000m-men"
"","Rene HERRERA
                
                    
                    PHI","london","2012","5000m-men"
NA,"Teklemariam MEDHIN
                
                    
                    ERI","london","2012","5000m-men"
"G","Robert HARTING
                
                    
                    GER","london","2012","discus-throw-men"
"S","Ehsan HADADI
                
                    
                    IRI","london","2012","discus-throw-men"
"B","Gerd KANTER
                
                    
                    EST","london","2012","discus-throw-men"
"","Virgilijus ALEKNA
                
                    
                    LTU","london","2012","discus-throw-men"
"","Piotr MALACHOWSKI
                
                    
                    POL","london","2012","discus-throw-men"
"","Martin WIERIG
                
                    
                    GER","london","2012","discus-throw-men"
"","Frank CASANAS
                
                    
                    CUB","london","2012","discus-throw-men"
"","Vikas GOWDA
                
                    
                    IND","london","2012","discus-throw-men"
"","Benn HARRADINE
                
                    
                    AUS","london","2012","discus-throw-men"
"","Erik CADEE
                
                    
                    NED","london","2012","discus-throw-men"
"","Jorge Yadian FERNANDEZ HERNANDEZ
                
                    
                    CUB","london","2012","discus-throw-men"
"","Lawrence OKOYE
                
                    
                    GBR","london","2012","discus-throw-men"
"","Gerd KANTER
                
                    
                    EST","london","2012","discus-throw-men"
"","Robert HARTING
                
                    
                    GER","london","2012","discus-throw-men"
"","Jorge Yadian FERNANDEZ HERNANDEZ
                
                    
                    CUB","london","2012","discus-throw-men"
"","Lawrence OKOYE
                
                    
                    GBR","london","2012","discus-throw-men"
"","Vikas GOWDA
                
                    
                    IND","london","2012","discus-throw-men"
"","Ehsan HADADI
                
                    
                    IRI","london","2012","discus-throw-men"
"","Piotr MALACHOWSKI
                
                    
                    POL","london","2012","discus-throw-men"
"","Martin WIERIG
                
                    
                    GER","london","2012","discus-throw-men"
"","Benn HARRADINE
                
                    
                    AUS","london","2012","discus-throw-men"
"","Virgilijus ALEKNA
                
                    
                    LTU","london","2012","discus-throw-men"
"","Frank CASANAS
                
                    
                    CUB","london","2012","discus-throw-men"
"","Erik CADEE
                
                    
                    NED","london","2012","discus-throw-men"
"","Apostolos PARELLIS
                
                    
                    CYP","london","2012","discus-throw-men"
"","Mario PESTANO
                
                    
                    ESP","london","2012","discus-throw-men"
"","Bogdan PISHCHALNIKOV
                
                    
                    RUS","london","2012","discus-throw-men"
"","Rutger SMITH
                
                    
                    NED","london","2012","discus-throw-men"
"","Martin MARIC
                
                    
                    CRO","london","2012","discus-throw-men"
"","Jason YOUNG
                
                    
                    USA","london","2012","discus-throw-men"
"","Scott MARTIN
                
                    
                    AUS","london","2012","discus-throw-men"
"","Traves SMIKLE
                
                    
                    JAM","london","2012","discus-throw-men"
"","Lance BROOKS
                
                    
                    USA","london","2012","discus-throw-men"
"","Przemyslaw CZAJKOWSKI
                
                    
                    POL","london","2012","discus-throw-men"
"","Ercument OLGUNDENIZ
                
                    
                    TUR","london","2012","discus-throw-men"
"","Gerhard MAYER
                
                    
                    AUT","london","2012","discus-throw-men"
"","Mart ISRAEL
                
                    
                    EST","london","2012","discus-throw-men"
"","Omar EL GHAZALY
                
                    
                    EGY","london","2012","discus-throw-men"
"","Aleksander TAMMERT
                
                    
                    EST","london","2012","discus-throw-men"
"","Julian WRUCK
                
                    
                    AUS","london","2012","discus-throw-men"
"","Abdul BUHARI
                
                    
                    GBR","london","2012","discus-throw-men"
"","Markus MUNCH
                
                    
                    GER","london","2012","discus-throw-men"
"","Jarred ROME
                
                    
                    USA","london","2012","discus-throw-men"
"","Robert URBANEK
                
                    
                    POL","london","2012","discus-throw-men"
"","Sultan Mubarak AL-DAWOODI
                
                    
                    KSA","london","2012","discus-throw-men"
"","Mykyta NESTERENKO
                
                    
                    UKR","london","2012","discus-throw-men"
"","Brett MORSE
                
                    
                    GBR","london","2012","discus-throw-men"
"","Roland VARGA
                
                    
                    CRO","london","2012","discus-throw-men"
"","German LAURO
                
                    
                    ARG","london","2012","discus-throw-men"
"","Danijel FURTULA
                
                    
                    MNE","london","2012","discus-throw-men"
"","Jason MORGAN
                
                    
                    JAM","london","2012","discus-throw-men"
"","Yunio LASTRE
                
                    
                    CUB","london","2012","discus-throw-men"
"","Ronald JULIAO
                
                    
                    BRA","london","2012","discus-throw-men"
"","Lance BROOKS
                
                    
                    USA","london","2012","discus-throw-men"
"","Przemyslaw CZAJKOWSKI
                
                    
                    POL","london","2012","discus-throw-men"
"","Ercument OLGUNDENIZ
                
                    
                    TUR","london","2012","discus-throw-men"
"","Gerhard MAYER
                
                    
                    AUT","london","2012","discus-throw-men"
"","Mart ISRAEL
                
                    
                    EST","london","2012","discus-throw-men"
"","Omar EL GHAZALY
                
                    
                    EGY","london","2012","discus-throw-men"
"","Aleksander TAMMERT
                
                    
                    EST","london","2012","discus-throw-men"
"","Julian WRUCK
                
                    
                    AUS","london","2012","discus-throw-men"
"","Abdul BUHARI
                
                    
                    GBR","london","2012","discus-throw-men"
"","Markus MUNCH
                
                    
                    GER","london","2012","discus-throw-men"
"","Jarred ROME
                
                    
                    USA","london","2012","discus-throw-men"
"","Robert URBANEK
                
                    
                    POL","london","2012","discus-throw-men"
"","Sultan Mubarak AL-DAWOODI
                
                    
                    KSA","london","2012","discus-throw-men"
"","Mykyta NESTERENKO
                
                    
                    UKR","london","2012","discus-throw-men"
"","Brett MORSE
                
                    
                    GBR","london","2012","discus-throw-men"
"","Roland VARGA
                
                    
                    CRO","london","2012","discus-throw-men"
"","German LAURO
                
                    
                    ARG","london","2012","discus-throw-men"
"","Danijel FURTULA
                
                    
                    MNE","london","2012","discus-throw-men"
"","Jason MORGAN
                
                    
                    JAM","london","2012","discus-throw-men"
"","Yunio LASTRE
                
                    
                    CUB","london","2012","discus-throw-men"
"","Ronald JULIAO
                
                    
                    BRA","london","2012","discus-throw-men"
"G","Keshorn WALCOTT
                
                    
                    TTO","london","2012","javelin-throw-men"
"S","Oleksandr PYATNYTSYA
                
                    
                    UKR","london","2012","javelin-throw-men"
"B","Antti RUUSKANEN
                
                    
                    FIN","london","2012","javelin-throw-men"
"","Vitezslav VESELY
                
                    
                    CZE","london","2012","javelin-throw-men"
"","Tero PITKAMAKI
                
                    
                    FIN","london","2012","javelin-throw-men"
"","Andreas THORKILDSEN
                
                    
                    NOR","london","2012","javelin-throw-men"
"","Spiridon LEBESIS
                
                    
                    GRE","london","2012","javelin-throw-men"
"","Tino HABER
                
                    
                    GER","london","2012","javelin-throw-men"
"","Stuart FARQUHAR
                
                    
                    NZL","london","2012","javelin-throw-men"
"","Roderick Genki DEAN
                
                    
                    JPN","london","2012","javelin-throw-men"
"","Ari MANNIO
                
                    
                    FIN","london","2012","javelin-throw-men"
"","Julius YEGO
                
                    
                    KEN","london","2012","javelin-throw-men"
"","Vitezslav VESELY
                
                    
                    CZE","london","2012","javelin-throw-men"
"","Andreas THORKILDSEN
                
                    
                    NOR","london","2012","javelin-throw-men"
"","Tero PITKAMAKI
                
                    
                    FIN","london","2012","javelin-throw-men"
"","Oleksandr PYATNYTSYA
                
                    
                    UKR","london","2012","javelin-throw-men"
"","Spiridon LEBESIS
                
                    
                    GRE","london","2012","javelin-throw-men"
"","Stuart FARQUHAR
                
                    
                    NZL","london","2012","javelin-throw-men"
"","Roderick Genki DEAN
                
                    
                    JPN","london","2012","javelin-throw-men"
"","Ari MANNIO
                
                    
                    FIN","london","2012","javelin-throw-men"
"","Julius YEGO
                
                    
                    KEN","london","2012","javelin-throw-men"
"","Keshorn WALCOTT
                
                    
                    TTO","london","2012","javelin-throw-men"
"","Antti RUUSKANEN
                
                    
                    FIN","london","2012","javelin-throw-men"
"","Tino HABER
                
                    
                    GER","london","2012","javelin-throw-men"
"","Leslie COPELAND
                
                    
                    FIJ","london","2012","javelin-throw-men"
"","Roman AVRAMENKO
                
                    
                    UKR","london","2012","javelin-throw-men"
"","Uladzimir KAZLOU
                
                    
                    BLR","london","2012","javelin-throw-men"
"","Guillermo MARTINEZ
                
                    
                    CUB","london","2012","javelin-throw-men"
"","Ainars KOVALS
                
                    
                    LAT","london","2012","javelin-throw-men"
"","Kim AMB
                
                    
                    SWE","london","2012","javelin-throw-men"
"","Igor JANIK
                
                    
                    POL","london","2012","javelin-throw-men"
"","Fatih AVAN
                
                    
                    TUR","london","2012","javelin-throw-men"
"","Risto MATAS
                
                    
                    EST","london","2012","javelin-throw-men"
"","Curtis MOSS
                
                    
                    CAN","london","2012","javelin-throw-men"
"","Craig KINSLEY
                
                    
                    USA","london","2012","javelin-throw-men"
"","Yukifumi MURAKAMI
                
                    
                    JPN","london","2012","javelin-throw-men"
"","Jakub VADLEJCH
                
                    
                    CZE","london","2012","javelin-throw-men"
"","Dayron MARQUEZ
                
                    
                    COL","london","2012","javelin-throw-men"
"","Jarrod BANNISTER
                
                    
                    AUS","london","2012","javelin-throw-men"
"","Pawel RAKOCZY
                
                    
                    POL","london","2012","javelin-throw-men"
"","Ihab Abdelrahman EL SAYED
                
                    
                    EGY","london","2012","javelin-throw-men"
"","Braian TOLEDO
                
                    
                    ARG","london","2012","javelin-throw-men"
"","Sangjin JUNG
                
                    
                    KOR","london","2012","javelin-throw-men"
"","Cyrus HOSTETLER
                
                    
                    USA","london","2012","javelin-throw-men"
"","Ilya KOROTKOV
                
                    
                    RUS","london","2012","javelin-throw-men"
"","Petr FRYDRYCH
                
                    
                    CZE","london","2012","javelin-throw-men"
"","Mervyn LUCKWELL
                
                    
                    GBR","london","2012","javelin-throw-men"
"","Ivan ZAYTSEV
                
                    
                    UZB","london","2012","javelin-throw-men"
"","Sean FUREY
                
                    
                    USA","london","2012","javelin-throw-men"
"","Vadims VASILEVSKIS
                
                    
                    LAT","london","2012","javelin-throw-men"
"","Melik JANOYAN
                
                    
                    ARM","london","2012","javelin-throw-men"
"","Matija KRANJC
                
                    
                    SLO","london","2012","javelin-throw-men"
"","Qiang QIN
                
                    
                    CHN","london","2012","javelin-throw-men"
"","Bartosz OSEWSKI
                
                    
                    POL","london","2012","javelin-throw-men"
"","Matthias DE ZORDO
                
                    
                    GER","london","2012","javelin-throw-men"
